City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Windspeed,Country
kruisfontein,0,1610981378,56,-34.0033,24.7314,78.01,8.99,ZA
bilma,99,1610981374,17,18.6853,12.9164,77.9,4.94,NE
airai,100,1610981374,100,-8.9266,125.4092,61.81,1.28,TL
ajdabiya,80,1610981597,61,30.7554,20.2263,60.39,20.76,LY
bredasdorp,0,1610981419,57,-34.5322,20.0403,75.2,19.57,ZA
avarua,20,1610981303,94,-21.2078,-159.775,75.2,4.61,CK
tiruchchendur,0,1610981597,76,8.4833,78.1167,78.12,17.98,IN
coquimbo,75,1610981468,82,-29.9533,-71.3436,60.8,9.22,CL
mataura,61,1610981344,73,-46.1927,168.8643,52.0,8.99,NZ
tarauaca,100,1610981383,78,-8.1614,-70.7656,83.55,3.33,BR
pemberton,24,1610981598,93,50.3164,-122.8027,30.99,1.1,CA
rikitea,100,1610981371,73,-23.1203,-134.9692,78.28,11.21,PF
dikson,2,1610981344,83,73.5069,80.5464,-19.16,20.42,RU
ternate,100,1610981598,77,0.8,127.4,81.37,3.87,ID
hilo,1,1610981400,88,19.7297,-155.09,66.99,3.44,US
lagoa,100,1610981449,83,39.05,-27.9833,61.56,28.34,PT
bluff,70,1610981401,73,-46.6,168.3333,52.0,8.99,NZ
yellowknife,90,1610981366,85,62.456,-114.3525,5.0,5.61,CA
manjacaze,100,1610981599,66,-24.7117,33.8828,79.56,13.65,MZ
sao filipe,100,1610981446,62,14.8961,-24.4956,76.06,9.62,CV
klaksvik,75,1610981353,100,62.2266,-6.589,35.6,4.21,FO
puerto ayora,40,1610981377,83,-0.7393,-90.3518,78.01,9.22,EC
los llanos de aridane,75,1610981382,60,28.6585,-17.9182,68.0,3.44,ES
praia,100,1610981599,57,14.9215,-23.5087,77.0,18.41,CV
sawakin,1,1610981599,61,19.1059,37.3321,74.59,17.6,SD
peniche,0,1610981600,70,39.3558,-9.3811,60.01,1.99,PT
san pedro,75,1610981600,78,14.35,121.0167,78.8,1.14,PH
mutoko,100,1610981600,90,-17.397,32.2268,71.06,4.85,ZW
krosno,72,1610981600,85,49.6887,21.7706,5.0,1.83,PL
maceio,40,1610981600,58,-9.6658,-35.7353,86.0,13.8,BR
punta arenas,0,1610981381,62,-53.15,-70.9167,53.6,13.8,CL
saint george,1,1610981309,35,37.1041,-113.5841,35.6,5.82,US
dalen,100,1610981600,97,52.6992,6.7556,42.01,1.99,NL
carnarvon,33,1610981346,83,-24.8667,113.6333,82.4,8.05,AU
hobart,75,1610981345,50,-42.8794,147.3294,50.0,14.97,AU
cape town,0,1610981326,44,-33.9258,18.4232,82.4,16.11,ZA
muli,7,1610981601,70,2.9167,73.5667,82.27,9.66,MV
ushuaia,75,1610981157,71,-54.8,-68.3,48.2,18.41,AR
azare,58,1610981601,12,11.6765,10.1948,89.94,12.62,NG
hobyo,25,1610981570,69,5.3505,48.5268,77.9,18.52,SO
taltal,3,1610981407,62,-25.4,-70.4833,70.39,5.14,CL
ponta do sol,66,1610981376,58,32.6667,-17.1,61.0,5.01,PT
boa vista,75,1610981602,61,2.8197,-60.6733,82.4,14.97,BR
khatanga,0,1610981407,81,71.9667,102.5,-29.24,15.14,RU
jamestown,90,1610981371,100,42.097,-79.2353,30.99,6.91,US
new norfolk,73,1610981374,50,-42.7826,147.0587,50.0,3,AU
bilibino,0,1610981602,78,68.0546,166.4372,-30.57,1.63,RU
geraldton,40,1610981120,57,-28.7667,114.6,80.6,13.8,AU
saint-joseph,0,1610981384,70,-21.3667,55.6167,84.2,6.91,RE
port lincoln,5,1610981509,86,-34.7333,135.8667,59.4,14.41,AU
vaini,20,1610981341,100,-21.2,-175.2,75.2,9.71,TO
albany,100,1610981107,68,42.6001,-73.9662,37.99,6.46,US
seminole,1,1610981603,76,28.7086,-81.2081,59.0,4.61,US
bethel,26,1610981373,73,41.3712,-73.414,37.99,8.86,US
busselton,9,1610981374,56,-33.65,115.3333,71.01,8.95,AU
chokurdakh,19,1610981449,85,70.6333,147.9167,-32.3,2.1,RU
castro,100,1610981143,95,-24.7911,-50.0119,67.42,5.35,BR
pevek,11,1610981440,85,69.7008,170.3133,-31.22,5.23,RU
singaraja,100,1610981604,80,-8.112,115.0882,76.64,2.26,ID
tokur,100,1610981604,86,53.1333,132.9,-32.46,2.57,RU
qaanaaq,96,1610981360,76,77.484,-69.3632,1.18,6.17,GL
skibbereen,90,1610981604,100,51.55,-9.2667,48.2,9.22,IE
kosh-agach,0,1610981605,69,50,88.6667,-2.27,2.28,RU
ilulissat,75,1610981448,49,69.2167,-51.1,17.6,11.5,GL
tasiilaq,82,1610981372,54,65.6145,-37.6368,24.8,6.91,GL
tiksi,100,1610981353,87,71.6872,128.8694,-24.02,7.29,RU
along,54,1610981605,66,28.1667,94.7667,57.76,1.48,IN
yanam,20,1610981605,65,16.7333,82.2167,78.8,3.78,IN
neuquen,0,1610981605,32,-38.9516,-68.0591,82.4,9.22,AR
fortuna,1,1610981442,100,40.5982,-124.1573,43.0,8.05,US
alofi,40,1610981440,94,-19.0595,-169.9187,75.2,1.14,NU
iqaluit,90,1610981415,78,63.7506,-68.5145,-0.4,6.91,CA
kapaa,75,1610981382,88,22.0752,-159.319,66.99,12.66,US
deputatskiy,98,1610981504,84,69.3,139.9,-39.51,2.71,RU
touros,75,1610981372,58,-5.1989,-35.4608,84.2,16.11,BR
ribeira brava,64,1610981606,76,32.65,-17.0667,61.0,1.99,PT
bengkulu,99,1610981244,87,-3.8004,102.2655,76.55,6.22,ID
wegorzewo,100,1610981606,93,54.2157,21.7372,7.56,4.99,PL
longyearbyen,20,1610981358,67,78.2186,15.6401,17.6,25.32,SJ
lompoc,0,1610981370,70,34.6391,-120.4579,55.99,3.65,US
barrow,90,1610981348,71,71.2906,-156.7887,-0.4,17.27,US
smithers,75,1610981404,93,54.7804,-127.1743,26.6,3.44,CA
baryshivka,75,1610981607,78,50.361,31.3217,10.0,8.95,UA
taoudenni,98,1610981383,18,22.6783,-3.9836,74.1,16.28,ML
arroyo,0,1610981607,75,41.6096,-4.7969,42.8,3.44,ES
stolin,58,1610981607,92,51.8912,26.846,-2.09,3.8,BY
faanui,1,1610981409,76,-16.4833,-151.75,80.58,15.59,PF
salair,99,1610981608,95,54.2312,85.7972,11.14,11.18,RU
andenes,75,1610981608,100,69.3143,16.1194,32.0,1.7,NO
sitka,90,1610981369,71,57.0531,-135.33,46.4,12.66,US
eyl,72,1610981479,56,7.9803,49.8164,77.97,23.91,SO
port macquarie,54,1610981515,100,-31.4333,152.9167,69.8,2.3,AU
krasnoarmeysk,100,1610981608,56,51.0239,45.6969,3.99,4,RU
mbengwi,30,1610981608,18,6.0167,10,88.68,3.94,CM
port alfred,12,1610981347,77,-33.5906,26.891,73.99,5.99,ZA
miramar,100,1610981609,88,25.9873,-80.2323,66.99,7.56,US
hofn,75,1610981475,65,64.2539,-15.2082,39.2,18.41,IS
fairbanks,1,1610981349,85,64.8378,-147.7164,6.8,3.58,US
tual,100,1610981609,80,-5.6667,132.75,83.62,17.65,ID
santa maria,40,1610981504,50,-29.6842,-53.8069,75.2,5.75,BR
hermanus,0,1610981372,55,-34.4187,19.2345,82.0,8.01,ZA
seoul,0,1610981462,41,37.5683,126.9778,19.4,12.66,KR
